building_guid,probability
deda01c8-1b2c-435d-af1d-a80ec7ca2526,1.0
9af446ac-fd37-4e82-945c-9b5c04ab7571,0.0
d5806eae-d011-476e-afde-20645b51ad8c,1.0
02e6f56b-d66e-4714-9c5f-ecccc05340c1,1.0
e73748b4-b143-4bb4-8804-fbdea5350cf8,1.0
83df1922-7407-403f-b1c3-84205f67653e,1.0
44bed902-b36b-430b-91f7-298f3c02fdcc,1.0
3fbf48eb-ff38-462a-9fa8-18fbf1312501,0.0
a6bd9773-79de-4bda-b6f8-c2805ad993a0,1.0
4665bec2-3f61-44e5-9390-5b4f3e7f885a,1.0
2ffb15d2-ae2b-44b2-92a6-5ac2ab573910,1.0
10c7aea1-7110-47c0-bb1f-994703bafd1a,1.0
ea282237-e042-4029-9b9a-5cfa49accd42,1.0
3a2b867d-f807-40b1-8679-1c85d75d3b48,1.0
00b327b1-d15c-4bc4-a82d-bf3dd35dfc33,0.2
7114f04e-d21d-4f25-8f11-c407ab94bad9,1.0
f592a7de-06b4-4f26-871b-fe07af861bce,0.0
8fabb1ef-0033-46cd-99bc-679c7ecf0d46,0.0
7f7f8a55-eb07-46b3-b260-d3cbb34ac6cf,0.0
31b707e3-2ea0-4e75-973b-5ee4ff15574b,0.1
a66e08ac-8d49-40f0-9249-24941e099589,0.0
344ddea3-8239-45ba-bf81-16a26898a753,0.0
2c10b250-0727-49f3-b1f7-2de68beef91d,0.0
ea0e8cbd-f4dc-44e1-a13e-c856f5154719,1.0
c949fa98-9634-429c-aa34-7a0663ad15a9,0.1
64e80719-4679-474d-953e-fef1bec1c476,0.0
98bc2f59-caac-4819-aa37-515503680877,0.1
5488f7b9-23fc-4705-916d-c3ab8fd26e06,1.0
454b5db0-c1c5-4562-b79f-27c6ee8b3202,0.3
49342c23-0be5-4029-9f06-6e990658f6e9,0.0
ccc28976-7cbf-4c68-bcca-3ca7a5028a96,0.0
33e5fc23-07cd-4346-979e-e4a4962ee611,0.1
e91a4a5c-c480-4949-bed0-13f2d873a2d6,0.1
05a215cb-c3f4-41d4-8c65-f2187278b0d1,0.0
80d15c73-8ea3-45a0-b669-c875e93ce026,0.0
f912c2b1-860d-4fd3-9112-6b7398fc3211,0.1
2a1b7d11-eb49-43ae-9583-5dea7d7349c6,0.0
ed400494-5ce6-45d3-bddf-327fb75cce6c,0.0
3ff8d13b-286d-4e71-9f92-2c5f1a0906ad,0.0
28961f40-845b-420e-a3fd-a126c6f76d4b,1.0
74385a76-4715-4c39-9a20-28f23c1d0af7,0.0
2f5b7fa4-7407-4928-bcb3-a0a182dc0115,0.1
b8168b87-bc87-4639-9dfb-9ae9722df65c,1.0
bbaa70d9-44e1-4366-b23c-ad554a8bc9e8,0.1
ba1402c1-13af-4e48-8784-43e2b42332ae,0.2
0722a1c4-6d89-437c-adde-69f36fe701e0,0.0
b3aca286-4ba3-4d56-974b-4fc6a834e081,0.1
8bc61b2f-52a5-4c13-a82f-e9326f745dd7,0.0
0734dbed-735a-4320-b7d0-6f3edb749f2f,0.0
d97ffd5a-58a7-4c8f-9a02-ac5c11154f45,0.1
3d751a9b-e687-44fc-8c46-bba28a9a817a,0.0
ade4ddac-5732-4c4b-96da-f1df38bf1043,1.0
85687bee-e8a4-4f6e-99ea-6194ebe4fce4,0.0
554a092e-6ce3-4cf6-815e-c418c11d5b56,0.1
b9ed3ee0-45ca-4b0c-a71a-e35980cfafa8,0.0
172075b5-fdb5-489b-be15-e38624b15881,0.0
a76fd7df-f5b7-4e67-ae78-781e2224c099,0.0
089e437e-960d-4e9a-ab29-06abad160c14,0.1
f05f489d-177c-41b9-9b59-381a406f62b2,1.0
5e0ff52f-3bd7-4ce1-b47c-6b9278ea4722,0.0
f95e0aac-52aa-48b7-8807-8c103f50759d,0.0
7a4724d2-608b-4b1c-b5dc-9b2bb964bd70,1.0
86c3ee51-a9ee-4aa1-993a-7fbe9640489e,1.0
054c10d8-179c-41ec-90e2-d89b26cbb5f8,1.0
af71fb23-dc84-4ea5-914d-ee27604c7f2e,0.0
cad8e05f-f9fa-4614-af79-8e523cca9d9b,0.0
ceef46c0-5814-44a1-a087-edd990003ba9,0.0
1e35adeb-2d5c-4219-86b4-f051a2f1905c,0.0
2c651c18-7836-460c-899d-6c4a06b8e132,1.0
a32060cb-259c-499e-b94c-c8066854df98,0.0
0b9c4b36-591d-4f56-a56e-0404339b31f5,1.0
56de7d63-0855-4548-9942-0eba75c8261c,0.0
38c35673-300d-4cd0-9232-e364ffdb9144,0.0
2cf6f83c-8cd6-4903-8831-b76c4ff3047b,0.1
b8ee7b38-6eb7-4cfa-aa10-9b5c19950afa,0.0
372c6620-21ad-4bba-9331-1e6c7c857747,1.0
64dd13a6-c3a9-44d4-b41b-a11285a8cdc4,0.2
28b81736-4c6b-461a-b8d5-efb4bdac2088,1.0
8efe7060-d23e-4af0-8a58-5d84efc0d716,0.1
7068163e-cb5b-4c55-9f0c-40d5f5ab84f4,0.0
d7f57527-4432-44ee-85b5-2c2c7f40cef3,1.0
8fa39140-063e-422a-8de7-07513402adae,1.0
76569fac-1fc5-47b8-8ed4-a5304d799938,1.0
6e77294e-9191-400f-813d-7cc9bf4d49bb,1.0
41cd3882-64e4-48cd-bbb9-25cdcc25c134,1.0
9191bd5c-0264-4b8f-bd8f-8f21062e3fe7,1.0
9a4bebde-4f36-41fb-8570-e9f9a4f07833,1.0
670e8632-867e-49e6-b4c2-08d14f83b7e0,0.0
312a1211-036c-47f6-a2f9-232dfdf6f968,1.0
95b1babf-05d1-4f88-94ae-c51d1cb76537,1.0
6be55f60-cd15-4858-bb1a-53d53684c746,0.1
64de4aaf-51be-4d69-b226-33b90eaf8515,1.0
d0d592b6-35a8-4ff4-b8eb-2fe39fd2dcca,1.0
d4ac06d1-1ab4-4120-ba19-848de15dd2d8,0.0
d1afd2cf-ea03-4a9c-b70d-f497006eb621,1.0
91328cda-b3d4-4c24-988d-6faf874f38a9,0.1
8a0b11ae-bdc1-48b3-a9b2-8509115ddf37,0.3
ebc4529b-fe16-46d9-88bf-20922fbd0f74,0.3
0b7438fe-bcba-4b02-8bce-2196993680cd,0.1
7fae59c5-c1ba-4469-8285-261156afdb4f,0.2
5acc3aa2-7c65-4e89-ba50-e07109549d11,1.0
13729f97-c34f-4626-a1c5-4687308d35e1,1.0
13c3839e-5c55-4163-ba00-63cbeb73d64f,1.0
d98fcfa5-7663-44c1-ae95-087a69fad21c,0.0
159c48c8-7d41-4f86-a3a0-86ffd3aeff36,1.0
b37bbbd8-638e-485d-8d9a-ebcb414f6c84,1.0
77b7d142-e408-498b-856f-6d655f3d448b,1.0
7e0143e1-af60-4a87-9e05-48fd2d476294,0.0
b8f3cc37-eb36-4222-a46a-bd7b9530dba8,1.0
0b936593-202e-4bc1-b379-f2bfe6a5c9ec,1.0
b201846d-57e9-42ba-8fd4-c3447d732384,1.0
75099ce0-f7db-4687-a512-243c280a9359,1.0
7666aabc-138c-42e9-a8b4-8e1c7c9e5648,1.0
0a295abd-b93f-4f62-b251-61a4298e6fe9,1.0
57cf9cc5-fe38-4477-82c5-a0757fa45cbb,1.0
45c90ed0-75e6-4b11-85db-703a9406361a,1.0
3eacc991-4d7f-4807-a606-c6309a102e2e,1.0
5e6d79dd-6cc9-4573-beed-aa08ce36f18d,0.2
60292da6-4e82-440c-9a9d-e06fa84abd4c,1.0
8efe7400-11de-4889-8966-b79adbb2c2c7,1.0
2d01de25-f386-4012-b361-c9f8afc28e28,1.0
22c1092c-3af8-466d-a51f-e7624308ce59,1.0
5edad9cb-3e3e-49c7-aaeb-d7e72d15fc72,1.0
bef5d401-9ab1-49a3-aa57-d055220dc4e5,1.0
04dc6522-ab9f-4835-b968-2e65c2b510ed,1.0
3b725166-2ab8-42a1-ba30-15086e93f5b4,1.0
744da2eb-cfdf-474f-8502-b24154a94128,0.9
b646b6a8-116b-4718-946f-da8d6e4ea560,1.0
9c29d144-6d54-43e9-98fc-c55a0e1de558,1.0
fcfaa571-4eb8-495a-9545-b81d1edf9933,0.9
789e5e5e-100c-481c-a701-b8c50f64def6,1.0
62ed0a25-0ab8-4247-bfed-1edb4692b56c,0.9
b367cefb-1ebc-4ee0-8657-cf3cc18d305c,1.0
930c49a2-f573-4cf4-aa20-fc70910fce0b,1.0
ec5bfd30-9eda-4308-97c8-1fcbbc7ed254,1.0
a233910b-3e3d-4691-ad43-3972abe7c48c,0.7
d77cebe0-9af9-4ef9-b3bd-0b767e2f73b6,0.9
ef581011-7a44-41a6-9132-787c5a09faf9,0.8
f7d5064d-8ce8-4e24-a3a4-6e557fe9b2a6,1.0
f3e2d76e-8228-4a69-a93e-240c34fdc271,1.0
73d034c7-94f8-47f3-8da1-d363a75f395e,1.0
361303c9-d9a5-4ce1-a88e-81f1883a94bb,0.9
b41173e2-da59-4df0-a62d-e982488328c8,1.0
64a981ef-3930-49b5-82ad-c30574f0dcc0,1.0
6b83cb19-483f-482b-af66-c712e2e3d965,0.0
5ad66e24-cb92-4d53-bed2-e18c97edaedc,0.0
4612ae9f-67ea-4615-a969-4051aec8f0e5,0.1
a8600291-9b6f-407c-a0bc-a8fb58b83299,1.0
d69ddd5d-0a25-4db7-8b31-81f578a96be6,1.0
1d559f95-3e9c-474b-aed5-c52a39283eaa,0.2
b00ad0d2-6067-4a14-90a6-ff1dc43a355b,0.0
6281719e-b104-487f-872a-0c2d529248a4,0.1
8feddab3-d398-47dc-9f28-db409712f070,0.0
31ee5ab9-269a-47ea-ad00-b7938b940de7,0.0
9501b6f0-77b5-4a1f-bbb5-d3c1fa911c1c,1.0
f40558c4-eb44-469d-87c9-4e466c8bd82c,0.0
8e9dac90-36fd-487a-9628-e050c9db4b84,1.0
3cb77e64-fe97-4ad9-998c-4f5a8f954bfb,0.9
bae20009-b3e3-432d-a929-11ed08d0574e,1.0
5915d44d-44b6-4951-a602-8e9d33236aad,0.4
d941b38c-f1e7-42e9-81dc-d2a134d02612,0.0
301e40cd-6ba2-4228-bcd6-32a1378c9b15,0.1
839160f1-a48d-4bfa-8c3f-d4f83c0f9fc5,0.0
37435d6e-29c2-4866-8315-afa3ad328993,1.0
de1581c2-a70a-4ea2-a153-fa61666d03fe,0.0
e73fc66b-4143-4375-a9bc-95249d996713,0.1
4993a7e1-871a-438b-8f9a-6ee17c212b3a,0.2
026f6d6b-e6d6-4c24-a03c-9fd606651d5c,0.9
804814b0-e581-4f39-9744-61636339b023,0.8
ee619d26-7038-4a86-82cf-981b23c2974a,1.0
25f7ea93-c98a-4346-a4ba-0ba8331493b9,0.9
8663da0b-6098-40a3-821f-7b4797688c53,0.9
73f09fcd-b4e5-4ebf-ad55-22ed20ec76ef,1.0
aa39db27-6a80-4c3a-ab04-fbd820a1866c,0.9
5d609321-40fc-41ec-b6e1-591052c19874,0.9
65f8ebb0-98a6-446d-a68e-7d11307f1808,0.7
fcd031e7-926c-40d0-be93-19c491b48e18,0.0
ca6d03d2-820d-42e9-b247-fa173ab9891c,0.0
747e73e1-8f10-4908-a899-1560f694bee5,0.9
41274459-6111-4f2a-81ca-d2e47391f762,0.9
082f193a-9608-40d2-be1e-fd67292bec79,0.0
d918b335-e8e7-4f7c-bcd4-585f00725689,0.0
bdf91591-79ae-4e00-8c3f-30353c60396a,0.9
3f4fa0ee-14f0-41eb-b918-dfac49298c27,1.0
0f0b6287-9514-4962-afb5-5fd17ca37603,0.9
c06e85c4-7739-4c5e-9fc9-6d4225bde64a,0.0
34ff47c1-07c2-43d4-8937-86329066c547,0.0
25a0bbf8-a9b0-4b21-bad9-fe4577d2f97f,0.0
c1ba9d60-30ca-4853-923a-f2a792d3459c,0.1
511aad63-a438-4626-a723-faff331fedc2,1.0
177b1f7b-1309-4da8-9d62-74bdb8feeec0,0.8
908410dd-963e-456b-9347-ab9fe650fb6e,0.7
108aef84-ae26-4b3f-8866-e5b5f14d77c0,1.0
ed8036a7-a0e4-4edb-a20b-bfe27b6dcff0,1.0
5e2c5d1f-5a88-497c-9874-e82fb5c9fa35,1.0
36a5b146-221f-4afd-b7a7-bbaf2030de5a,1.0
5dc418f8-4c3b-4df2-a4ec-a97ce0e8418c,1.0
f5243a04-3781-4cc1-a7a4-04eee7e731b5,0.9
536ec68c-077f-4c44-a8e7-6baf724411d0,1.0
30e07041-eadc-4d32-8fb3-b2e3912de9c0,1.0
f7e63620-a12b-40ad-870d-fee403a76dc4,1.0
be7bcbfc-ddd6-4389-9e31-907294c292e3,0.9
2891e2c4-1782-4d7e-8feb-05d9baf487ae,1.0
0abd531c-4ad1-4323-ac5b-f8bfc5d16e7b,1.0
8e6e1234-d9c3-45fd-9139-5e506d15ed45,0.9
eab925bc-5afe-4e6f-96c9-1b58f459474f,1.0
d4d1aaeb-080e-471a-a9e1-6f93bfdcacbb,1.0
4de3d63b-5115-40d5-86fe-2da9bf78943e,1.0
e7dc9713-0e9c-47e4-98b2-7527174c110e,1.0
8f57c5c8-c25f-4e66-b7dd-b5b333a502bf,1.0
0eb142a7-fdc6-4557-856f-de5e339a5168,1.0
e3b93abb-a39c-4adb-8553-fc555d70cd44,1.0
929c2301-2fbe-4041-9585-2363dab936e0,1.0
3dbf3056-1c61-49c7-8951-78b3b21cd1ef,0.8
89308cdb-0b72-46f9-be19-f25a60549169,0.7
fc676030-4975-465e-866e-748759291c26,1.0
84f4c2cc-9537-44a6-a891-1c7e0395a99e,1.0
5c4bb6e0-635d-4a5a-9912-28682da902b4,1.0
feb64d35-9b35-4ebc-8929-ed210e4e686b,0.9
f16a485f-52bd-44b9-b257-ba17700b0469,1.0
c476ed6d-0957-4c6f-93e3-843a966c4bf0,1.0
8ca000f5-04fb-427b-b85c-2471cf1b2af6,1.0
a861141a-405e-44ce-8f9d-785d37907059,1.0
33346df1-abe3-40d2-aafe-9133c668bf7d,1.0
2711dca7-092d-418a-8cec-d714af8301e4,1.0
3ceee558-76d1-4a14-abf3-25c7b9184eab,1.0
5d2fb679-6ab6-4f3e-8b41-c9e46229536f,0.8
325ba0be-80f4-4731-b2e3-c4bc0e4cada6,0.0
4faabea7-25d5-4077-b44a-1ef8b83e57d5,1.0
79724165-e48e-45a5-b6d6-7ac4ce0326b1,1.0
bb4c6332-2e54-4602-8666-56296b196880,1.0
4f07c3f2-094d-49c6-90b0-829098bc0860,1.0
9443291f-4deb-4c1e-823a-8bef52d475ad,1.0
5d6c678d-0d00-448e-9078-0f78be644af1,1.0
4bab8c30-245d-4f93-a0de-5f3ff74e78fe,1.0
803247a9-e683-406e-b067-771aea21979c,1.0
aad575c9-3517-4862-8174-04091d2374a5,0.9
de9b8842-25d2-4c00-b7d0-489038cfb104,1.0
26f50a6f-e9b5-4add-a11c-2c7194f1bea7,1.0
5f67704c-d263-4054-9693-261728ee1a9f,0.1
ac917fae-52dd-4c30-b298-7787cdfd1f2e,1.0
