guid,retrofit_key,retrofit_value
5a6aa8bb-e4ac-4c97-b8cb-88eff269bfb0,Wood or Metal Deck Diaphragms Retrofitted,
a32bebd3-28fc-475f-9210-f9d68084ba68,Wood or Metal Deck Diaphragms Retrofitted,
3423c101-9a54-472c-bc64-3d022225ccd0,Wood or Metal Deck Diaphragms Retrofitted,
e394eadf-8adf-4ca7-acd1-316a5a2c9b75,Wood or Metal Deck Diaphragms Retrofitted,
2efff86e-dbd2-49a7-b94b-3bd68348f813,Wood or Metal Deck Diaphragms Retrofitted,
bfcdd490-d600-4789-bfef-2c67d5e62252,Wood or Metal Deck Diaphragms Retrofitted,
4695ae77-3b6d-4752-a56b-aa391d9678d6,Wood or Metal Deck Diaphragms Retrofitted,
61ca54f8-6666-4ed1-b350-f322ce477eea,Wood or Metal Deck Diaphragms Retrofitted,
24d19444-424f-4330-8c9b-9446e12840df,Wood or Metal Deck Diaphragms Retrofitted,
7b3ff386-d303-46c3-9ab3-22faa29cc643,Wood or Metal Deck Diaphragms Retrofitted,
e3b61d27-ec04-42d3-8a46-b4ff411d449d,Wood or Metal Deck Diaphragms Retrofitted,
8879636b-2ef8-4441-8fa6-708435de920c,Wood or Metal Deck Diaphragms Retrofitted,
251cef4a-c328-4366-aa9a-3347212bf98e,Wood or Metal Deck Diaphragms Retrofitted,
ca72a795-341e-4a3f-9503-85a938efcf11,Wood or Metal Deck Diaphragms Retrofitted,
ea4f205a-ea6e-4762-b323-3b2da235e82d,Wood or Metal Deck Diaphragms Retrofitted,
a144fde3-0af9-4bb0-923b-8b87f1c3c209,Wood or Metal Deck Diaphragms Retrofitted,
8525147f-6a76-485a-83c1-3e4226b3aa18,Wood or Metal Deck Diaphragms Retrofitted,
8b0b5d03-1850-4cb6-9838-89552ae2129f,Wood or Metal Deck Diaphragms Retrofitted,
f1ec2096-a36b-46ac-bf3c-f6863e581724,Wood or Metal Deck Diaphragms Retrofitted,
43ae86f9-5e02-42bf-ba97-b9fc41f4df8c,Wood or Metal Deck Diaphragms Retrofitted,
e9f23dc7-37ba-4807-8df2-b35f64da1c3a,Wood or Metal Deck Diaphragms Retrofitted,
16a70ec2-044a-4093-b094-0a47e2219f9f,Wood or Metal Deck Diaphragms Retrofitted,
7ec28d2c-9704-4a9d-aea6-2fea93882389,Wood or Metal Deck Diaphragms Retrofitted,
ed2e2184-e653-420a-8cb0-ee7ef86d7901,Wood or Metal Deck Diaphragms Retrofitted,
0f4b89f2-7fdc-4487-b151-ab18fc5b952c,Wood or Metal Deck Diaphragms Retrofitted,
bb46b5b7-057c-480c-b7d6-c457b818f095,Wood or Metal Deck Diaphragms Retrofitted,
ecc8f4ab-0600-4089-8651-86b1d630684c,Wood or Metal Deck Diaphragms Retrofitted,
02b477cc-1b97-4a8a-b712-55fcb430175a,Wood or Metal Deck Diaphragms Retrofitted,
15159d65-5d96-42ef-9a7d-c17d2a2576ee,Wood or Metal Deck Diaphragms Retrofitted,
0329a0b1-9a6f-496e-a832-a86912b2f4bf,Wood or Metal Deck Diaphragms Retrofitted,
8a3fbe04-211e-41fb-a34f-8641d8c0965e,Wood or Metal Deck Diaphragms Retrofitted,
ee2b1d74-47c2-4b7a-8344-1d5c7b125977,Wood or Metal Deck Diaphragms Retrofitted,
30448057-5afc-4749-983f-fee7067d1482,Wood or Metal Deck Diaphragms Retrofitted,
a0fef8b8-c824-4f5a-8e2f-d6fbcda8328c,Wood or Metal Deck Diaphragms Retrofitted,
64a393e0-fe2a-4c02-a58c-180fdd43afe7,Wood or Metal Deck Diaphragms Retrofitted,
4d4f239c-729e-4b8e-88c6-ad8ea2d83818,Wood or Metal Deck Diaphragms Retrofitted,
853e0a42-c5b9-4fa7-97bc-088006354834,Wood or Metal Deck Diaphragms Retrofitted,
1fa6760c-e831-4325-b098-a6db4add0f10,Wood or Metal Deck Diaphragms Retrofitted,
f6cd6a2a-c3fe-4380-a664-3bfd9e97c283,Wood or Metal Deck Diaphragms Retrofitted,
35305b12-0355-4069-bd94-ea0916cb06fe,Wood or Metal Deck Diaphragms Retrofitted,
b1d37046-d3c1-456c-a162-51ec15f67d52,Wood or Metal Deck Diaphragms Retrofitted,
92a1f43e-4a3d-4929-ba04-42262692ace6,Wood or Metal Deck Diaphragms Retrofitted,
601b861e-8e0f-45f1-9cf1-bb87949f821f,Wood or Metal Deck Diaphragms Retrofitted,
e9a5dc2f-da5e-4b17-a764-6d3bd0a058cd,Wood or Metal Deck Diaphragms Retrofitted,
1ce79f40-50dc-4490-97f2-2fc1ea291d0d,Wood or Metal Deck Diaphragms Retrofitted,
0fddc8fd-371b-464d-9a57-c196150c3a45,Wood or Metal Deck Diaphragms Retrofitted,
a70b34f7-b148-4d6f-8596-c11b2c2777a9,Wood or Metal Deck Diaphragms Retrofitted,
36482eb5-aea1-4698-8673-fe14d6ece199,Wood or Metal Deck Diaphragms Retrofitted,
62ec62cb-9220-455f-bdfd-0c5b036c85ae,Wood or Metal Deck Diaphragms Retrofitted,
588cfce8-f00b-4a9e-8430-7510566861d2,Wood or Metal Deck Diaphragms Retrofitted,
320aeb2a-0f3f-4a74-bf40-cdbbb5eb6ac3,Wood or Metal Deck Diaphragms Retrofitted,
570ee89e-0196-47b9-8eea-1a3f6e925960,Wood or Metal Deck Diaphragms Retrofitted,
f8d3cebc-5962-4611-a56f-ddbdba170c63,Wood or Metal Deck Diaphragms Retrofitted,
2228a1e4-374d-426c-963f-376f70a8604d,Wood or Metal Deck Diaphragms Retrofitted,
70b890de-81f3-4f76-b8c7-23bfeaa069ae,Wood or Metal Deck Diaphragms Retrofitted,
67faf250-88a1-40ce-b098-f4d99812a4d6,Wood or Metal Deck Diaphragms Retrofitted,
3be4d4c7-a03b-4710-a457-e525b006d034,Wood or Metal Deck Diaphragms Retrofitted,
ffe457d0-e3c3-41af-ad9c-aa6db626a027,Wood or Metal Deck Diaphragms Retrofitted,
cc955fd6-1c1b-4cab-84a1-2435ed2a351c,Wood or Metal Deck Diaphragms Retrofitted,
2cdd0a08-91a7-4745-8aa2-d1aa445f511a,Wood or Metal Deck Diaphragms Retrofitted,
fe53b596-82b3-4bb1-9ed7-4b766e25817d,Wood or Metal Deck Diaphragms Retrofitted,
e7cd7a59-5681-40b8-b5cd-d7da092472a2,Wood or Metal Deck Diaphragms Retrofitted,
7b2a997c-28a7-4d0f-a886-752a037a19ed,Wood or Metal Deck Diaphragms Retrofitted,
7b064809-23c8-4321-9b77-511993ae6560,Wood or Metal Deck Diaphragms Retrofitted,
39cb6149-c62f-40cf-ae2b-1631c594b902,Wood or Metal Deck Diaphragms Retrofitted,
b80c9fde-9cfe-4a40-a8a0-9b26c9d425c5,Wood or Metal Deck Diaphragms Retrofitted,
86c656f7-c96d-4f61-913d-062d9c0871f9,Wood or Metal Deck Diaphragms Retrofitted,
951307ef-1804-47ed-947b-7d95c78792d6,Wood or Metal Deck Diaphragms Retrofitted,
2d27512a-1037-4f10-809d-6c7ab3022bc4,Wood or Metal Deck Diaphragms Retrofitted,
103d5bd9-0286-4070-8296-41d71719c951,Wood or Metal Deck Diaphragms Retrofitted,
1fa28d2b-ab85-4ac1-a46a-3df23a2418e5,Wood or Metal Deck Diaphragms Retrofitted,
93fb5ca9-ea59-4234-a85b-16146ec2ceac,Wood or Metal Deck Diaphragms Retrofitted,
9c283267-a207-46fe-b0a5-697df8609124,Wood or Metal Deck Diaphragms Retrofitted,
6d796620-97c4-4bc8-a6c4-3fa17a21ec0b,Wood or Metal Deck Diaphragms Retrofitted,
5d37a3d6-ff88-4c1b-894d-016dcdbe4392,Wood or Metal Deck Diaphragms Retrofitted,
7983d4ff-fc31-43ce-8e9c-dd54aeafba73,Wood or Metal Deck Diaphragms Retrofitted,
7af3f3e9-396c-47e4-a0f1-87ad5501e516,Wood or Metal Deck Diaphragms Retrofitted,
78b54a31-faa7-46e7-a54f-14d8ab163e87,Wood or Metal Deck Diaphragms Retrofitted,
2902409a-21e5-4a08-a13d-7c1037510364,Wood or Metal Deck Diaphragms Retrofitted,
8f6d060c-a3a5-4a9d-847c-b3743891f3a7,Wood or Metal Deck Diaphragms Retrofitted,
6060d6ac-dae7-44a8-b65e-31fa155ae312,Wood or Metal Deck Diaphragms Retrofitted,
